pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
11	S1S3_intra	A brown dog is attacking another animal in front of the man in pants	S1_null	A brown dog is helping another animal in front of the man in pants	S3_so	3.665	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
12	S1S2_intra	Two dogs are fighting	S2_lex	Two dogs are wrestling and hugging	S1_null	4	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
13	S1S3_intra	Two dogs are wrestling and hugging	S1_null	There is no dog wrestling and hugging	S3_od	3.3	CONTRADICTION	A_contradicts_B	B_contradicts_A	Two dogs wrestle or hug.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
14	S1S2_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	Two dogs are fighting	S2_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
15	S1S3_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	There is no dog wrestling and hugging	S3_null	2.7	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TEST
16	S1S2_inter	Two dogs are wrestling and hugging	S1_null	A brown dog is attacking another animal in front of the tall man in pants	S2_null	2.9	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
17	S1S3_inter	Two dogs are wrestling and hugging	S1_null	A brown dog is helping another animal in front of the man in pants	S3_null	2.3	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs wrestle or hug.	A brown dog is jumping up at another dog in front of the man in jeans.	FLICKR	FLICKR	TEST
18	S1S1_inter	A brown dog is attacking another animal in front of the man in pants	S1_null	Two dogs are wrestling and hugging	S1_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	A brown dog is jumping up at another dog in front of the man in jeans.	Two dogs wrestle or hug.	FLICKR	FLICKR	TRAIN
19	S1S2_intra	A person in a black jacket is doing tricks on a motorbike	S1_null	A man in a black jacket is doing tricks on a motorbike	S2_lex	4.9	ENTAILMENT	A_entails_B	B_entails_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
20	S1S3_intra	There is no man in a black jacket doing tricks on a motorbike	S3_od	A person in a black jacket is doing tricks on a motorbike	S1_null	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
21	S1S4_intra	A person in a black jacket is doing tricks on a motorbike	S1_null	A person on a black motorbike is doing tricks with a jacket	S4_ws	3	NEUTRAL	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
22	S1S2_intra	A skilled person is riding a bicycle on one wheel	S2_aa,det	A person is riding the bicycle on one wheel	S1_null	4.3	ENTAILMENT	A_entails_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
23	S1S3_intra	Nobody is riding the bicycle on one wheel	S3_od	A person is riding the bicycle on one wheel	S1_null	4.1	CONTRADICTION	A_contradicts_B	B_contradicts_A	A person rides their bicycle onto a rock and balances on one wheel.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
24	S1S2_inter	A person in a black jacket is doing tricks on a motorbike	S1_null	A skilled person is riding a bicycle on one wheel	S2_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TRIAL
25	S1S3_inter	Nobody is riding the bicycle on one wheel	S3_null	A person in a black jacket is doing tricks on a motorbike	S1_null	2.8	NEUTRAL	A_contradicts_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TRAIN
26	S1S2_inter	A person is riding the bicycle on one wheel	S1_null	A man in a black jacket is doing tricks on a motorbike	S2_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TRAIN
27	S1S3_inter	A person is riding the bicycle on one wheel	S1_null	There is no man in a black jacket doing tricks on a motorbike	S3_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TEST
28	S1S4_inter	A person on a black motorbike is doing tricks with a jacket	S4_null	A person is riding the bicycle on one wheel	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TRAIN
29	S1S1_inter	A person is riding the bicycle on one wheel	S1_null	A person in a black jacket is doing tricks on a motorbike	S1_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	A person in a black jacket doing tricks on a motorbike.	A person rides their bicycle onto a rock and balances on one wheel.	FLICKR	FLICKR	TEST
30	S1S2_intra	A man with a jersey is dunking the ball at a basketball game	S1_null	The ball is being dunked by a man with a jersey at a basketball game	S2_top	4.9	ENTAILMENT	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TRAIN
31	S1S3_intra	A man with a jersey is dunking the ball at a basketball game	S1_null	There is no man dunking the ball at a basketball game	S3_od	4	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
32	S1S4_intra	The game of basketball consists of a ball being dunked by a man with a jersey	S4_ws	A man with a jersey is dunking the ball at a basketball game	S1_null	4.2	ENTAILMENT	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
33	S1S2_intra	A man who is playing dunks the basketball into the net and a crowd is in background	S2_expn	The player is dunking the basketball into the net and a crowd is in background	S1_null	4.7	ENTAILMENT	A_entails_B	B_entails_A	Player number 23 dunks the basketball into the net with a crowd in the background.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
34	S1S3_intra	The player is missing the basket and a crowd is in background	S3_so	The player is dunking the basketball into the net and a crowd is in background	S1_null	3.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	Player number 23 dunks the basketball into the net with a crowd in the background.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
35	S1S2_inter	A man with a jersey is dunking the ball at a basketball game	S1_null	A man who is playing dunks the basketball into the net and a crowd is in background	S2_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN
36	S1S3_inter	A man with a jersey is dunking the ball at a basketball game	S1_null	The player is missing the basket and a crowd is in background	S3_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TEST
37	S1S2_inter	The player is dunking the basketball into the net and a crowd is in background	S1_null	The ball is being dunked by a man with a jersey at a basketball game	S2_null	4	NEUTRAL	A_neutral_B	B_neutral_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
38	S1S3_inter	There is no man dunking the ball at a basketball game	S3_null	The player is dunking the basketball into the net and a crowd is in background	S1_null	3.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
39	S1S4_inter	The game of basketball consists of a ball being dunked by a man with a jersey	S4_null	The player is dunking the basketball into the net and a crowd is in background	S1_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	Player number 23 dunks the basketball into the net with a crowd in the background.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TEST
40	S1S1_inter	The player is dunking the basketball into the net and a crowd is in background	S1_null	A man with a jersey is dunking the ball at a basketball game	S1_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN
41	S1S2_intra	Two people are kickboxing and spectators are watching	S1_null	Two people are fighting and spectators are watching	S2_lex	4.4	ENTAILMENT	A_entails_B	B_neutral_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
42	S1S3_intra	Two people are kickboxing and spectators are not watching	S3_inv	Two people are kickboxing and spectators are watching	S1_null	3.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
43	S1S4_intra	Two spectators are kickboxing and some people are watching	S4_ws	Two people are kickboxing and spectators are watching	S1_null	4	NEUTRAL	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
44	S1S2_intra	Two young women are sparring in a kickboxing fight	S2_aa,lex	Two women are sparring in a kickboxing match	S1_null	4.9	ENTAILMENT	A_entails_B	B_entails_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
45	S1S3_intra	Two young women are not sparring in a kickboxing fight	S3_inv	Two women are sparring in a kickboxing match	S1_null	3.9	NEUTRAL	A_contradicts_B	B_neutral_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
46	S1S2_inter	Two people are kickboxing and spectators are watching	S1_null	Two young women are sparring in a kickboxing fight	S2_null	3.9	NEUTRAL	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TEST
47	S1S3_inter	Two people are kickboxing and spectators are watching	S1_null	Two young women are not sparring in a kickboxing fight	S3_null	3.415	NEUTRAL	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
48	S1S2_inter	Two women are sparring in a kickboxing match	S1_null	Two people are fighting and spectators are watching	S2_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
49	S1S3_inter	Two women are sparring in a kickboxing match	S1_null	Two people are kickboxing and spectators are not watching	S3_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
50	S1S4_inter	Two spectators are kickboxing and some people are watching	S4_null	Two women are sparring in a kickboxing match	S1_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TEST
51	S1S1_inter	Two people are kickboxing and spectators are watching	S1_null	Two women are sparring in a kickboxing match	S1_null	3.9	NEUTRAL	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TEST
52	S1S2_intra	Kids in red shirts are playing in the leaves	S2_lex	Children in red shirts are playing in the leaves	S1_null	4.9	ENTAILMENT	A_entails_B	B_entails_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
53	S1S3_intra	Children in red shirts are playing in the leaves	S1_null	Children in red shirts are sleeping in the leaves	S3_so	4	NEUTRAL	A_neutral_B	B_contradicts_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
54	S1S4_intra	Children in red shirts are playing in the leaves	S1_null	Children covered by leaves are playing with red shirts	S4_ws	3.9	NEUTRAL	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
55	S1S2_intra	Three boys are jumping in the leaves	S2_lex	Three kids are jumping in the leaves	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
56	S1S3_intra	Three kids are sitting in the leaves	S3_so	Three kids are jumping in the leaves	S1_null	3.8	NEUTRAL	A_contradicts_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
57	S1S2_inter	Three boys are jumping in the leaves	S2_null	Children in red shirts are playing in the leaves	S1_null	4.1	NEUTRAL	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
58	S1S3_inter	Children in red shirts are playing in the leaves	S1_null	Three kids are sitting in the leaves	S3_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
59	S1S2_inter	Kids in red shirts are playing in the leaves	S2_null	Three kids are jumping in the leaves	S1_null	3.9	NEUTRAL	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
60	S1S3_inter	Children in red shirts are sleeping in the leaves	S3_null	Three kids are jumping in the leaves	S1_null	3.1	NEUTRAL	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
61	S1S4_inter	Children covered by leaves are playing with red shirts	S4_null	Three kids are jumping in the leaves	S1_null	3.9	NEUTRAL	A_neutral_B	B_neutral_A	Three kids jumping in leaves.	Children in red shirts play in the leaves.	FLICKR	FLICKR	TEST
62	S1S1_inter	Children in red shirts are playing in the leaves	S1_null	Three kids are jumping in the leaves	S1_null	4	NEUTRAL	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
63	S1S2_intra	Two children are lying in the snow and are drawing angels	S2_expc	Two children are lying in the snow and are making snow angels	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
64	S1S3_intra	Two children are lying in the snow and are making snow angels	S1_null	There is no child lying in the snow and making snow angels	S3_od	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
65	S1S4_intra	Two angels are making snow on the lying children	S4_ws	Two children are lying in the snow and are making snow angels	S1_null	2.9	NEUTRAL	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
66	S1S2_intra	Two people wearing snowsuits are on the ground making snow angels	S2_lex	Two people in snowsuits are lying in the snow and making snow angels	S1_null	4.8	ENTAILMENT	A_entails_B	B_entails_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
67	S1S3_intra	Two people in snowsuits are lying in the snow and making snow angels	S1_null	Nobody in snowsuits is lying in the snow and making snow angels	S3_od	4.1	CONTRADICTION	A_contradicts_B	B_contradicts_A	Two people in snowsuits laying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
68	S1S2_inter	Two children are lying in the snow and are making snow angels	S1_null	Two people wearing snowsuits are on the ground making snow angels	S2_null	4.6	NEUTRAL	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
69	S1S3_inter	Two children are lying in the snow and are making snow angels	S1_null	Nobody in snowsuits is lying in the snow and making snow angels	S3_null	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TEST
70	S1S2_inter	Two children are lying in the snow and are drawing angels	S2_null	Two people in snowsuits are lying in the snow and making snow angels	S1_null	4.1	NEUTRAL	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
71	S1S3_inter	There is no child lying in the snow and making snow angels	S3_null	Two people in snowsuits are lying in the snow and making snow angels	S1_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TEST
72	S1S4_inter	Two people in snowsuits are lying in the snow and making snow angels	S1_null	Two angels are making snow on the lying children	S4_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
73	S1S1_inter	Two children are lying in the snow and are making snow angels	S1_null	Two people in snowsuits are lying in the snow and making snow angels	S1_null	4.2	NEUTRAL	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TRAIN
74	S1S2_intra	A little girl is looking at a woman in costume	S1_null	A young girl is looking at a woman in costume	S2_aa	4.7	ENTAILMENT	A_entails_B	B_entails_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
75	S1S3_intra	A little girl is looking at a woman in costume	S1_null	The little girl is looking at a man in costume	S3_so	3.8	NEUTRAL	A_contradicts_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
76	S1S4_intra	A little girl is looking at a woman in costume	S1_null	A little girl in costume looks like a woman	S4_ws	2.9	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TEST
77	S1S2_intra	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	Masked people are looking in the same direction in a forest	S2_lex	4.4	ENTAILMENT	A_entails_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
78	S1S3_intra	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	People wearing costumes are scattering in a forest and are looking in different directions	S3_inv	3.2	NEUTRAL	A_neutral_B	B_contradicts_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
79	S1S4_intra	People are looking at some costumes gathered in the vicinity of the forest	S4_ws	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	3.635	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
80	S1S2_inter	Masked people are looking in the same direction in a forest	S2_null	A little girl is looking at a woman in costume	S1_null	1.3	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TEST
81	S1S3_inter	A little girl is looking at a woman in costume	S1_null	People wearing costumes are scattering in a forest and are looking in different directions	S3_null	2.4	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
82	S1S4_inter	A little girl is looking at a woman in costume	S1_null	People are looking at some costumes gathered in the vicinity of the forest	S4_null	2.6	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
83	S1S2_inter	A young girl is looking at a woman in costume	S2_null	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	2.2	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
84	S1S3_inter	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	The little girl is looking at a man in costume	S3_null	3	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
85	S1S4_inter	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	A little girl in costume looks like a woman	S4_null	2	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
86	S1S1_inter	A little girl is looking at a woman in costume	S1_null	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	2.6	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TEST
87	S1S2_intra	A lone biker is jumping in the air	S1_null	A biker is jumping in the air, alone	S2_lex	5	ENTAILMENT	A_entails_B	B_entails_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
88	S1S3_intra	There is no biker jumping in the air	S3_od	A lone biker is jumping in the air	S1_null	4.2	CONTRADICTION	A_contradicts_B	B_contradicts_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
89	S1S2_intra	A man is jumping into an empty swimming pool	S2_lex	A man is jumping into an empty pool	S1_null	4.8	ENTAILMENT	A_entails_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
90	S1S3_intra	A man is jumping into an empty pool	S1_null	A man is jumping into a full pool	S3_so	3	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
91	S1S4_intra	A man is jumping into an empty pool	S1_null	The man's jumper is in the empty pool	S4_ws	3.1	NEUTRAL	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
92	S1S2_inter	A lone biker is jumping in the air	S1_null	A man is jumping into an empty swimming pool	S2_null	1.6	NEUTRAL	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
93	S1S3_inter	A lone biker is jumping in the air	S1_null	A man is jumping into a full pool	S3_null	1.7	NEUTRAL	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
94	S1S4_inter	The man's jumper is in the empty pool	S4_null	A lone biker is jumping in the air	S1_null	1.4	NEUTRAL	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
95	S1S2_inter	A man is jumping into an empty pool	S1_null	A biker is jumping in the air, alone	S2_null	1.6	NEUTRAL	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TEST
96	S1S3_inter	A man is jumping into an empty pool	S1_null	There is no biker jumping in the air	S3_null	1.2	NEUTRAL	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TEST
97	S1S1_inter	A lone biker is jumping in the air	S1_null	A man is jumping into an empty pool	S1_null	1.5	NEUTRAL	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
